id,dprime_none,dprime_right,dprime_left,c_none,c_right,c_left,k_none,k_right,k_left
184,0.69,0.24,-0.08,0.41,0.2,0.28,0.76,0.32,0.24
185,-0.06,0.72,-0.4,-0.03,-0.04,0.12,-0.06,0.32,-0.08
238,0,-0.4,-2.2,0.52,-0.12,1.99,0.52,-0.32,0.89
239,1.23,3.01,1.99,0.42,1.58,0.32,1.04,3.09,1.32
257,1.78,0,1.54,-0.05,-1.15,1.09,0.84,-1.15,1.86
258,1.97,2.68,1.56,-0.05,-0.19,0.11,0.93,1.15,0.89
280,0.36,0.1,0.17,-0.5,-0.73,0.4,-0.32,-0.67,0.49
282,-0.19,-0.32,-0.58,-0.16,-0.16,-0.29,-0.25,-0.32,-0.58
294,1.03,1.08,1.21,0.33,0.14,0.28,0.84,0.67,0.89
304,1.13,0.34,-0.19,-0.11,-0.84,0.58,0.45,-0.67,0.49
311,0.47,1.25,0.75,-0.36,0.05,-0.3,-0.13,0.67,0.08
344,2.48,3.58,1.45,-0.72,1.3,0.05,0.52,3.09,0.78
385,0,0.4,0.26,0.06,-0.2,0.45,0.06,0,0.58
391,1.63,1.55,0.89,0.22,0.37,0.44,1.04,1.15,0.89
440,3.08,4.41,3.76,0.1,0.89,-1.21,1.64,3.09,0.67
449,1.39,1.73,1.99,0.24,0.29,0.32,0.93,1.15,1.32
455,-0.19,-2.2,0.49,-0.03,-1.99,0.24,-0.13,-3.09,0.49
491,1.35,1.82,1.45,-0.08,-0.24,0.05,0.6,0.67,0.78
496,1.71,0,3.49,-0.18,-0.32,-1.34,0.67,-0.32,0.4
511,0.65,1.33,1.64,-0.2,-0.35,0.5,0.13,0.32,1.32
524,0.44,0.24,0.38,0.82,0.2,1.34,1.04,0.32,1.53
529,0.94,1.15,0.91,-0.28,-0.58,-0.22,0.19,0,0.24
533,0.19,-0.48,-0.08,-0.22,-0.91,0.28,-0.13,-1.15,0.24
550,0.13,0.4,-0.08,0.06,0.12,-0.04,0.13,0.32,-0.08
551,0.66,-0.52,-0.08,0.27,-0.42,-0.04,0.6,-0.67,-0.08
568,1.08,0.8,2.14,0.61,0.17,0,1.15,0.57,1.07
591,1.47,1.1,3.25,-0.42,-0.23,-1.47,0.32,0.32,0.16
596,0,1.94,-0.64,-1.15,-2.12,-1,-1.15,-1.15,-1.32
602,2.48,4.95,1.64,-0.2,0.61,-0.33,1.04,3.09,0.49
705,1.12,0.4,0.67,-0.04,-0.2,0.34,0.52,0,0.67
726,2.72,1.64,1.47,-0.6,0.33,0.42,0.76,1.15,1.15
749,0.52,1.25,-0.08,-0.58,0.05,-0.36,-0.32,0.67,-0.4
750,-0.32,0,-2.08,0.16,-1.15,2.05,0,-1.15,1.01
751,0.66,1.35,0.99,-0.27,0,-0.18,0.06,0.67,0.32
756,0.39,0.17,0.78,0.19,-0.4,0.39,0.39,-0.32,0.78
848,1.46,1.33,1.16,-0.21,-0.35,-0.09,0.52,0.32,0.49
864,1.96,3.67,1.99,0.3,1.26,0.32,1.28,3.09,1.32
878,0.82,3.67,1.56,0.35,1.26,0.11,0.76,3.09,0.89
880,-0.18,0,2.31,-0.85,-1.15,-1.93,-0.93,-1.15,-0.78
891,1.46,0.56,-1.56,0.92,0.04,2.31,1.64,0.32,1.53
899,1.28,1.23,0.89,0.51,0.54,0.44,1.15,1.15,0.89
966,1.44,1.82,2.04,-0.12,-0.24,-0.13,0.6,0.67,0.89
983,1.28,0.89,1.23,-0.12,-0.44,-0.54,0.52,0,0.08
994,1.09,0.08,0.36,0.61,-0.36,0.5,1.15,-0.32,0.67
999,0.51,0.69,0.34,0.06,-0.66,0.84,0.32,-0.32,1.01